director_name,平均评分,电影数量,最高评分,最低评分
Randall Miller,6.95,2,7.1,6.8
Randall Rubin,6.2,1,6.2,6.2
Randall Wallace,6.62,4,7.2,5.8
Randy Moore,5.2,1,5.2,5.2
Rania Attieh,6.3,1,6.3,6.3
Rawson Marshall Thurber,6.75,4,7.0,6.6
Ray Griggs,5.1,1,5.1,5.1
Ray Lawrence,6.4,1,6.4,6.4
Raymond De Felitta,7.4,1,7.4,7.4
Rebecca Miller,6.7,1,6.7,6.7
Reed Cowan,7.1,1,7.1,7.1
Regardt van den Bergh,6.9,1,6.9,6.9
Reginald Hudlin,5.27,3,5.4,5.1
Reinhard Klooss,4.9,1,4.9,4.9
Remo,6.4,1,6.4,6.4
Renny Harlin,5.75,15,7.1,4.2
René Féret,6.4,1,6.4,6.4
Rian Johnson,7.15,2,7.4,6.9
Ric Roman Waugh,6.5,2,6.5,6.5
Rich Christiano,5.6,1,5.6,5.6
Rich Cowan,6.5,1,6.5,6.5
Rich Moore,7.8,1,7.8,7.8
Richard Attenborough,7.6,4,8.1,7.4
Richard Ayoade,7.3,1,7.3,7.3
Richard Benjamin,4.73,3,6.2,2.8
Richard Boddington,4.7,1,4.7,4.7
Richard Brooks,7.8,4,8.1,7.2
Richard Curtis,7.63,3,7.8,7.4
Richard Donner,6.82,12,7.6,5.6
Richard Dutcher,7.2,1,7.2,7.2
Richard E. Grant,6.9,1,6.9,6.9
Richard Eyre,7.25,2,7.4,7.1
Richard Fleischer,6.54,5,7.5,5.0
Richard Glatzer,7.3,2,7.5,7.1
Richard J. Lewis,7.3,1,7.3,7.3
Richard Kelly,6.4,3,8.1,5.5
Richard Kwietniowski,7.15,2,7.2,7.1
Richard LaGravenese,6.66,5,7.5,5.9
Richard Lester,6.6,5,7.7,4.9
Richard Linklater,7.33,11,8.1,6.0
Richard Loncraine,6.53,3,7.5,5.8
Richard Marquand,8.4,1,8.4,8.4
Richard Montoya,6.3,1,6.3,6.3
Richard Raymond,6.0,1,6.0,6.0
Richard Rich,6.0,1,6.0,6.0
Richard Schenkman,6.4,2,8.0,4.8
Richard Shepard,6.63,3,6.9,6.2
Richard Wallace,6.2,1,6.2,6.2
Richard Williams,7.2,1,7.2,7.2
Rick Bieber,5.7,1,5.7,5.7
Rick Famuyiwa,6.4,4,7.3,4.9
Rick Friedberg,5.3,1,5.3,5.3
Rick Rosenthal,4.1,1,4.1,4.1
Rick de Oliveira,2.7,1,2.7,2.7
Ricki Stern,7.7,1,7.7,7.7
Ricky Gervais,6.4,1,6.4,6.4
Ridley Scott,7.07,17,8.5,5.3
Ringo Lam,5.4,1,5.4,5.4
Risa Bramon Garcia,5.9,1,5.9,5.9
Rita Merson,5.3,1,5.3,5.3
Ritesh Batra,7.8,1,7.8,7.8
Rob Bowman,6.05,4,7.0,4.8
Rob Cohen,5.69,10,6.7,4.6
Rob Hawk,5.0,1,5.0,5.0
Rob Hedden,4.5,1,4.5,4.5
Rob Letterman,6.05,4,6.5,4.9
Rob Marshall,6.6,5,7.3,5.8
Rob McKittrick,6.8,1,6.8,6.8
Rob Minkoff,5.94,5,6.9,4.9
Rob Pritts,4.6,1,4.6,4.6
Rob Reiner,7.02,11,8.1,5.6
Rob Schmidt,6.1,1,6.1,6.1
Rob Zombie,5.72,4,6.9,4.9
Robby Henson,5.1,1,5.1,5.1
Robert Adetuyi,4.5,1,4.5,4.5
Robert Altman,6.8,3,7.3,6.3
Robert B. Weide,6.5,1,6.5,6.5
Robert Ben Garant,5.9,1,5.9,5.9
Robert Bennett,2.8,1,2.8,2.8
Robert Butler,4.7,1,4.7,4.7
Robert C. Cooper,7.4,1,7.4,7.4
Robert Cary,6.5,1,6.5,6.5
Robert D. Webb,6.2,1,6.2,6.2
Robert Duvall,7.2,1,7.2,7.2
Robert Eggers,6.8,1,6.8,6.8
Robert Fontaine,7.2,1,7.2,7.2
Robert Greenwald,7.25,2,7.7,6.8
Robert Hall,5.2,1,5.2,5.2
Robert Harmon,5.15,2,5.5,4.8
Robert Heath,5.6,1,5.6,5.6
Robert Iscove,4.4,3,5.8,2.1
Robert Kenner,7.9,1,7.9,7.9
Robert Lee King,6.3,1,6.3,6.3
Robert Lorenz,6.8,1,6.8,6.8
Robert Luketic,6.0,6,6.8,5.4
Robert M. Young,7.1,1,7.1,7.1
Robert Marcarelli,3.5,1,3.5,3.5
Robert Moresco,6.4,1,6.4,6.4
Robert Mulligan,8.4,1,8.4,8.4
Robert Redford,6.84,5,7.8,6.2
Robert Rodriguez,5.69,13,7.6,3.5
Robert Rossen,8.0,1,8.0,8.0
Robert Sarkies,7.3,1,7.3,7.3
Robert Schwentke,6.35,6,7.1,5.6
Robert Stevenson,7.8,1,7.8,7.8
Robert Stromberg,7.0,1,7.0,7.0
Robert Towne,7.2,1,7.2,7.2
Robert Townsend,7.0,1,7.0,7.0
Robert Wise,7.2,3,8.0,6.4
Robert Zemeckis,7.31,13,8.8,6.3
Robin Budd,5.8,1,5.8,5.8
Robinson Devor,7.3,1,7.3,7.3
Rod Lurie,6.6,5,7.0,5.8
Rodman Flender,6.2,1,6.2,6.2
Rodrigo Cortés,6.6,2,7.0,6.2
Rodrigo García,6.95,2,7.2,6.7
Roger Allers,7.35,2,8.5,6.2
Roger Avary,6.6,2,6.7,6.5
Roger Christian,2.4,1,2.4,2.4
Roger Donaldson,6.77,7,7.9,5.8
Roger Kumble,5.27,3,6.9,3.8
Roger Michell,6.67,3,7.0,6.5
Roger Nygard,7.0,1,7.0,7.0
Roger Spottiswoode,6.3,4,7.1,5.7
Roger Vadim,5.9,1,5.9,5.9
Rohan Sippy,6.2,1,6.2,6.2
Rohit Jagessar,7.4,1,7.4,7.4
Rohit Jugraj,6.6,1,6.6,6.6
Roland Emmerich,6.19,8,7.1,4.5
Roland Joffé,5.0,4,5.9,4.5
Roland Suso Richter,6.1,1,6.1,6.1
Roman Polanski,7.42,6,8.5,6.7
Romesh Sharma,5.1,1,5.1,5.1
Ron Clements,7.4,3,8.0,7.1
Ron Fricke,8.5,1,8.5,8.5
Ron Howard,6.93,13,8.2,5.3
Ron Maxwell,7.0,2,7.7,6.3
Ron Shelton,5.9,4,6.6,5.3
Ron Underwood,5.5,3,7.1,3.8
Ronald Neame,4.9,1,4.9,4.9
Ronan Chapalain,6.9,1,6.9,6.9
Ronny Yu,5.5,4,6.3,4.6
Rowan Joffe,6.0,2,6.3,5.7
Rowdy Herrington,6.6,2,6.7,6.5
Ruairi Robinson,5.5,1,5.5,5.5
Ruba Nadda,5.2,1,5.2,5.2
Ruben Fleischer,6.83,3,7.7,6.1
Ruggero Deodato,4.8,1,4.8,4.8
Rupert Sanders,6.1,1,6.1,6.1
Rupert Wainwright,6.2,1,6.2,6.2
Rupert Wyatt,6.53,3,7.6,6.0
Russ Meyer,6.2,1,6.2,6.2
Russell Crowe,7.1,1,7.1,7.1
Russell Friedenberg,3.6,1,3.6,3.6
Russell Holt,6.9,1,6.9,6.9
Russell Mulcahy,6.28,4,7.2,5.6
Rusty Cundieff,6.1,1,6.1,6.1
Ryan Coogler,7.6,2,7.7,7.5
Ryan Fleck,7.2,1,7.2,7.2
Ryan Little,6.8,1,6.8,6.8
Ryan Murphy,5.95,2,6.2,5.7
Ryan Smith,5.4,1,5.4,5.4
Ryûhei Kitamura,6.1,1,6.1,6.1
S.R. Bindler,4.7,1,4.7,4.7
S.S. Rajamouli,8.4,1,8.4,8.4
Sacha Bennett,4.8,1,4.8,4.8
Sadyk Sher-Niyaz,8.7,1,8.7,8.7
Sai Varadan,7.2,1,7.2,7.2
Sajid Khan,5.3,1,5.3,5.3
Salim Akil,5.7,2,5.7,5.7
Sally Potter,6.9,1,6.9,6.9
Salvador Carrasco,6.8,1,6.8,6.8
Sam Fell,6.1,1,6.1,6.1
Sam Firstenberg,4.7,1,4.7,4.7
Sam Levinson,6.0,1,6.0,6.0
Sam Martin,7.8,1,7.8,7.8
Sam Mendes,7.5,8,8.4,6.8
Sam Miller,5.75,2,5.9,5.6
Sam Peckinpah,7.38,4,8.0,6.8
Sam Raimi,6.91,13,7.8,6.2
Sam Taylor-Johnson,5.65,2,7.2,4.1
Sam Weisman,5.45,4,5.6,5.3
Sammo Kam-Bo Hung,6.2,1,6.2,6.2
Sanaa Hamri,6.0,2,6.2,5.8
Sanjay Rawal,7.1,1,7.1,7.1
Sara Newens,7.1,1,7.1,7.1
Sara Sugarman,4.6,1,4.6,4.6
Sarah Gavron,6.7,1,6.7,6.7
Sarah Smith,7.1,1,7.1,7.1
Sarik Andreasyan,5.2,1,5.2,5.2
Saul Dibb,6.9,1,6.9,6.9
Scandar Copti,7.4,1,7.4,7.4
Scott Alexander,5.7,1,5.7,5.7
Scott Cooper,7.03,3,7.3,6.8
Scott Derrickson,6.14,5,6.8,5.5
Scott Dow,3.4,1,3.4,3.4
Scott Foley,5.4,1,5.4,5.4
Scott Frank,6.5,1,6.5,6.5
Scott Hicks,6.84,5,7.7,6.3
Scott Kalvert,5.6,1,5.6,5.6
Scott Mann,6.1,2,6.1,6.1
Scott Marshall,4.65,2,5.4,3.9
Scott Smith,7.7,1,7.7,7.7
Scott Speer,6.5,1,6.5,6.5
Scott Stewart,5.45,2,5.7,5.2
Scott Walker,6.4,1,6.4,6.4
Scott Waugh,6.5,1,6.5,6.5
Scott Ziehl,6.6,1,6.6,6.6
Sean Anders,6.12,4,6.5,5.6
Sean Byrne,6.7,1,6.7,6.7
Sean Durkin,6.9,1,6.9,6.9
Sean McNamara,6.5,2,7.1,5.9
Sean Penn,7.5,2,8.2,6.8
Serdar Akar,6.0,1,6.0,6.0
Sergey Bodrov,6.27,3,7.3,5.5
Sergey Bondarchuk,7.3,1,7.3,7.3
Sergio Leone,8.48,4,8.9,8.0
Seth Gordon,6.07,3,6.9,5.6
Seth MacFarlane,6.5,3,7.0,6.1
Shana Feste,6.43,3,6.7,6.3
Shane Acker,7.1,1,7.1,7.1
Shane Black,7.4,2,7.6,7.2
Shane Carruth,7.0,1,7.0,7.0
Shane Dawson,5.1,1,5.1,5.1
Shane Meadows,7.55,4,7.7,7.1
Shari Springer Berman,6.7,2,7.5,5.9
Sharon Greytak,8.1,1,8.1,8.1
Sharon Maguire,6.7,1,6.7,6.7
Sharron Miller,4.1,1,4.1,4.1
Shawn Levy,6.09,11,7.1,5.4
Shekar,7.1,1,7.1,7.1
Shekhar Kapur,6.97,3,7.5,6.5
Sheldon Lettich,6.1,2,6.7,5.5
Sherman Alexie,6.9,1,6.9,6.9
Shimit Amin,7.5,1,7.5,7.5
Shinji Aramaki,6.5,1,6.5,6.5
Shintaro Shimosawa,5.3,1,5.3,5.3
Shona Auerbach,7.8,1,7.8,7.8
Shyam Madiraju,4.8,1,4.8,4.8
Siddharth Anand,5.4,1,5.4,5.4
Siddiq Barmak,7.4,1,7.4,7.4
Sidney J. Furie,3.6,1,3.6,3.6
Sidney Lumet,7.18,6,8.9,5.2
Simeon Rice,5.5,1,5.5,5.5
Simon Curtis,7.15,2,7.3,7.0
Simon Napier-Bell,7.4,1,7.4,7.4
Simon Wells,5.65,2,5.9,5.4
Simon West,6.02,8,6.8,5.0
Simon Wincer,5.62,4,6.8,4.8
Simon Yin,3.9,1,3.9,3.9
Sngmoo Lee,6.3,1,6.3,6.3
Sofia Coppola,6.92,4,7.8,6.3
Sol Tryon,6.5,1,6.5,6.5
Spencer Susser,7.1,1,7.1,7.1
Spike Jonze,7.58,4,8.0,6.8
Spike Lee,6.57,16,7.9,4.1
Stacy Peralta,7.8,2,7.9,7.7
Stanley Donen,8.3,1,8.3,8.3
Stanley Kramer,7.95,2,8.3,7.6
Stanley Kubrick,8.0,7,8.5,7.3
Stanley Tong,6.7,1,6.7,6.7
Stanton Barrett,3.4,1,3.4,3.4
Stefan C. Schaefer,5.7,1,5.7,5.7
Stefan Ruzowitzky,5.63,3,6.3,4.5
Stefan Schwartz,6.6,1,6.6,6.6
Stefen Fangmeier,5.1,1,5.1,5.1
Stephan Elliott,5.8,2,6.7,4.9
Stephen Carpenter,3.9,1,3.9,3.9
Stephen Chbosky,8.0,1,8.0,8.0
Stephen Chow,7.2,3,7.8,6.5
Stephen Daldry,7.4,5,7.7,6.9
Stephen Frears,7.07,10,7.7,5.8
Stephen Gaghan,6.3,3,7.0,4.9
Stephen Herek,6.12,8,7.3,4.9
Stephen Hillenburg,7.0,1,7.0,7.0
Stephen Hopkins,6.0,6,7.1,5.1
Stephen J. Anderson,7.3,1,7.3,7.3
Stephen Kay,5.0,3,5.8,4.1
Stephen Kijak,7.3,1,7.3,7.3
Stephen Langford,3.2,1,3.2,3.2
Stephen Milburn Anderson,6.0,1,6.0,6.0
Stephen Norrington,6.45,2,7.1,5.8
Stephen Sommers,6.08,4,6.3,5.8
Sterling Van Wagenen,6.6,1,6.6,6.6
Stevan Mena,5.1,1,5.1,5.1
Steve Antin,6.4,1,6.4,6.4
Steve Barron,5.3,1,5.3,5.3
Steve Beck,5.5,2,5.5,5.5
Steve Bendelack,6.3,1,6.3,6.3
Steve Box,7.5,1,7.5,7.5
Steve Boyum,3.95,2,4.0,3.9
Steve Buscemi,6.9,2,7.2,6.6
Steve Carr,5.35,4,6.1,4.6
Steve Carver,6.3,1,6.3,6.3
Steve Gomer,2.8,1,2.8,2.8
Steve Hickner,6.2,1,6.2,6.2
Steve James,7.55,2,8.3,6.8
Steve Martino,6.9,2,7.2,6.6
Steve McQueen,7.7,2,8.1,7.3
Steve Miner,5.76,5,6.2,5.2
Steve Oedekerk,6.2,4,6.7,5.6
Steve Pink,5.87,3,6.4,5.1
Steve Rash,5.25,2,5.4,5.1
Steve Taylor,6.0,1,6.0,6.0
Steve Trenbirth,5.4,1,5.4,5.4
Steven Brill,5.68,4,5.9,5.3
Steven E. de Souza,3.8,1,3.8,3.8
Steven Quale,5.85,2,5.9,5.8
Steven R. Monroe,6.3,1,6.3,6.3
Steven Seagal,4.4,1,4.4,4.4
Steven Shainberg,6.8,2,7.1,6.5
Steven Soderbergh,6.71,16,7.8,4.7
Steven Spielberg,7.52,125,9.1,2.9
Steven Zaillian,6.35,2,6.5,6.2
Stewart Hendler,5.1,1,5.1,5.1
Stewart Raffill,4.55,2,5.7,3.4
Stig Bergqvist,6.1,1,6.1,6.1
Stiles White,4.4,1,4.4,4.4
Stuart Baird,6.4,2,6.4,6.4
Stuart Beattie,5.1,1,5.1,5.1
Stuart Gillard,4.8,1,4.8,4.8
Stuart Gordon,6.1,2,6.3,5.9
Stuart Hazeldine,6.9,1,6.9,6.9
Stéphane Aubier,7.9,1,7.9,7.9
Sue Corcoran,4.7,1,4.7,4.7
Susan Seidelman,6.5,1,6.5,6.5
Susan Stroman,6.4,1,6.4,6.4
Susanna White,6.25,2,6.4,6.1
Susanne Bier,7.2,1,7.2,7.2
Sut Jhally,8.3,1,8.3,8.3
Sydney Pollack,6.58,5,7.4,5.1
Sylvain Chomet,7.8,1,7.8,7.8
Sylvain White,5.8,2,6.4,5.2
Sylvester Stallone,6.85,2,7.2,6.5
Sylvio Tabet,3.8,1,3.8,3.8
Tadeo Garcia,6.1,1,6.1,6.1
Taedong Park,4.8,1,4.8,4.8
Takao Okawara,6.0,1,6.0,6.0
Takashi Shimizu,5.45,2,5.9,5.0
Takashi Yamazaki,6.1,1,6.1,6.1
Takeshi Kitano,7.2,1,7.2,7.2
Tamara Jenkins,6.9,2,7.2,6.6
Tamra Davis,5.0,2,6.7,3.3
Tanner Beard,4.4,1,4.4,4.4
Tara Subkoff,3.3,1,3.3,3.3
Tarsem Singh,6.12,4,6.5,5.6
Tate Taylor,7.5,2,8.1,6.9
Tay Garnett,7.5,1,7.5,7.5
Taylor Hackford,6.66,5,7.7,5.7
Ted Demme,7.6,1,7.6,7.6
Ted Kotcheff,7.7,2,7.7,7.7
Ted Post,6.55,2,7.0,6.1
Teddy Chan,6.7,2,6.9,6.5
Terence Davies,7.1,1,7.1,7.1
Terence Young,6.12,4,7.5,2.7
Terrence Malick,7.25,4,8.0,6.7
Terron R. Parsons,3.4,1,3.4,3.4
Terry George,8.1,1,8.1,8.1
Terry Gilliam,7.33,7,8.3,5.9
Terry Zwigoff,7.25,2,7.4,7.1
Thaddeus O'Sullivan,6.7,1,6.7,6.7
Thea Sharrock,7.6,1,7.6,7.6
Theodore Melfi,7.3,1,7.3,7.3
Theodore Witcher,7.4,1,7.4,7.4
Thomas Bezucha,6.05,2,6.3,5.8
Thomas Carter,6.67,3,7.2,6.1
Thomas L. Phillips,5.4,1,5.4,5.4
Thomas Lilti,7.2,1,7.2,7.2
Thomas Vinterberg,7.67,3,8.3,6.6
Thor Freudenthal,5.83,3,6.2,5.4
Thorbjørn Christoffersen,5.7,1,5.7,5.7
Ti West,5.95,2,6.4,5.5
Tim Blake Nelson,6.2,1,6.2,6.2
Tim Boxell,6.6,1,6.6,6.6
Tim Burton,6.93,16,8.0,5.7
Tim Chambers,6.5,1,6.5,6.5
Tim Fywell,6.0,1,6.0,6.0
Tim Heidecker,5.3,1,5.3,5.3
Tim Hill,5.44,5,6.2,5.0
Tim Hunter,7.1,1,7.1,7.1
Tim Johnson,6.72,4,6.8,6.7
Tim McCanlies,7.2,2,7.6,6.8
Tim Miller,8.1,1,8.1,8.1
Tim Robbins,7.25,2,7.6,6.9
Tim Story,6.05,6,6.6,5.6
Timothy Björklund,5.8,1,5.8,5.8
Timothy Hines,7.5,1,7.5,7.5
Timothy Woodward Jr.,3.1,1,3.1,3.1
Timur Bekmambetov,6.22,6,6.7,5.9
Tina Gordon Chism,5.3,1,5.3,5.3
Tobe Hooper,6.7,7,7.5,5.5
Tod Williams,5.7,1,5.7,5.7
Todd Field,7.55,2,7.6,7.5
Todd Graff,6.05,2,6.4,5.7
Todd Haynes,7.13,3,7.4,7.0
Todd Lincoln,4.1,1,4.1,4.1
Todd Phillips,6.66,7,7.8,5.9
Todd Solondz,7.27,3,7.8,6.5
Todd Strauss-Schulson,6.3,1,6.3,6.3
Tom Brady,3.3,1,3.3,3.3
Tom Dey,5.47,3,6.6,4.2
Tom DiCillo,5.8,1,5.8,5.8
Tom Elkins,5.3,1,5.3,5.3
Tom Ford,7.6,1,7.6,7.6
Tom Gormican,6.1,1,6.1,6.1
Tom Green,4.5,1,4.5,4.5
Tom Hanks,6.5,2,6.9,6.1
Tom Holland,6.1,2,6.5,5.7
Tom Hooper,7.73,3,8.0,7.6
Tom Kalin,5.9,1,5.9,5.9
Tom McCarthy,7.9,2,8.1,7.7
Tom McGrath,7.3,1,7.3,7.3
Tom McLoughlin,5.9,1,5.9,5.9
Tom Putnam,7.5,1,7.5,7.5
Tom Reeve,5.7,1,5.7,5.7
Tom Sanchez,7.2,1,7.2,7.2
Tom Schulman,5.3,1,5.3,5.3
Tom Seidman,6.2,1,6.2,6.2
Tom Shadyac,6.31,7,6.9,5.4
Tom Tykwer,7.22,5,7.8,6.5
Tom Vaughan,6.3,2,6.5,6.1
Tom Walsh,4.8,1,4.8,4.8
Tomas Alfredson,7.1,1,7.1,7.1
Tomm Moore,7.7,1,7.7,7.7
Tommy Lee Jones,7.05,2,7.5,6.6
Tommy Lee Wallace,4.6,1,4.6,4.6
Tommy O'Haver,6.05,2,6.3,5.8
Tommy Oliver,7.1,1,7.1,7.1
Tommy Wirkola,6.25,2,6.4,6.1
Tony Bancroft,7.5,1,7.5,7.5
Tony Bill,6.6,1,6.6,6.6
Tony Giglio,5.3,1,5.3,5.3
Tony Gilroy,6.73,3,7.3,6.2
Tony Goldwyn,6.35,2,6.6,6.1
Tony Jaa,6.2,1,6.2,6.2
Tony Kaye,8.03,3,8.6,7.2
Tony Krantz,5.3,1,5.3,5.3
Tony Maylam,6.2,1,6.2,6.2
Tony Richardson,6.4,2,6.8,6.0
Tony Scott,6.79,12,8.0,5.8
Tran Anh Hung,5.5,1,5.5,5.5
Travis Cluff,4.2,1,4.2,4.2
Travis Legge,3.25,2,3.3,3.2
Travis Romero,3.9,1,3.9,3.9
Travis Zariwny,3.7,1,3.7,3.7
Trent Cooper,3.1,1,3.1,3.1
Trey Parker,7.07,3,7.8,6.2
Troy Duffy,7.1,2,7.9,6.3
Troy Miller,3.4,1,3.4,3.4
Troy Nixey,5.6,1,5.6,5.6
Tuck Tucker,5.9,1,5.9,5.9
Tung-Shing Yee,7.1,1,7.1,7.1
Tyler Oliver,5.2,1,5.2,5.2
Tyler Perry,4.9,9,6.0,4.1
U. Roberto Romano,7.2,1,7.2,7.2
Udayan Prasad,6.8,1,6.8,6.8
Uli Edel,6.55,2,7.4,5.7
Ulu Grosbard,6.3,1,6.3,6.3
Uwe Boll,3.72,5,6.3,2.3
Vadim Perelman,7.0,2,7.6,6.4
Valentine,5.1,1,5.1,5.1
Valeri Milev,5.1,1,5.1,5.1
Vera Farmiga,6.3,1,6.3,6.3
Vic Armstrong,3.1,1,3.1,3.1
Vic Sarin,7.1,2,7.2,7.0
Vicente Amorim,6.2,1,6.2,6.2
Vicky Jenson,5.3,1,5.3,5.3
Vicky Jewson,4.4,1,4.4,4.4
Victor Fleming,7.77,3,8.2,7.0
Victor Nunez,7.15,2,7.2,7.1
Victor Salva,6.33,3,7.3,5.6
Vidhu Vinod Chopra,5.7,1,5.7,5.7
Vijay Chandar,5.1,1,5.1,5.1
Vincent Gallo,6.25,2,7.5,5.0
Vincent Paronnaud,8.0,1,8.0,8.0
Vincent Ward,7.0,1,7.0,7.0
Vincente Minnelli,7.1,1,7.1,7.1
Vincenzo Natali,6.55,4,7.3,5.8
Vipul Amrutlal Shah,7.3,1,7.3,7.3
Vivek Agnihotri,4.8,1,4.8,4.8
Vladlen Barbe,5.3,1,5.3,5.3
Vondie Curtis-Hall,2.1,1,2.1,2.1
W.D. Hogan,3.4,1,3.4,3.4
Wade Gasque,6.8,1,6.8,6.8
Wajahat Rauf,7.0,1,7.0,7.0
Wallace Wolodarsky,5.4,1,5.4,5.4
Wally Pfister,6.3,1,6.3,6.3
Walt Becker,5.68,4,6.4,5.0
Walter Hill,5.92,4,7.1,4.8
Walter Lang,6.8,2,7.1,6.5
Walter Murch,6.7,1,6.7,6.7
Walter Salles,6.57,3,8.0,5.6
Ward Roberts,6.5,1,6.5,6.5
Warren Beatty,6.8,3,7.5,6.1
Warren P. Sonoda,4.7,1,4.7,4.7
Warren Sheppard,4.0,1,4.0,4.0
Wayne Beach,5.9,1,5.9,5.9
Wayne Kramer,7.2,2,7.4,7.0
Wayne Thornley,5.8,1,5.8,5.8
Wayne Wang,6.02,5,6.4,5.1
Werner Herzog,7.0,2,7.3,6.7
Wes Anderson,7.63,7,8.1,7.1
Wes Ball,6.6,2,6.8,6.4
Wes Craven,6.11,11,7.5,4.5
Whit Stillman,6.6,2,7.5,5.7
Wil Shriner,5.6,1,5.6,5.6
Will Canon,5.3,1,5.3,5.3
Will Finn,5.5,2,5.6,5.4
Will Gluck,6.3,3,7.1,5.2
Willard Huyck,4.6,1,4.6,4.6
William A. Fraker,5.0,1,5.0,5.0
William A. Graham,5.1,1,5.1,5.1
William Arntz,5.4,1,5.4,5.4
William Bindley,6.5,1,6.5,6.5
William Brent Bell,5.1,3,6.0,4.2
William Cottrell,7.7,1,7.7,7.7
William Dear,5.6,2,7.0,4.2
William Eubank,6.1,1,6.1,6.1
William Friedkin,6.88,6,8.0,5.1
William Gazecki,7.1,2,7.2,7.0
William H. Macy,7.5,1,7.5,7.5
William Kaufman,5.3,2,5.4,5.2
William Malone,4.45,2,5.6,3.3
William Phillips,6.5,1,6.5,6.5
William Sachs,3.4,1,3.4,3.4
William Shatner,5.4,1,5.4,5.4
William Wyler,8.1,1,8.1,8.1
Wilson Yip,7.2,1,7.2,7.2
Wolfgang Becker,7.7,1,7.7,7.7
Wolfgang Petersen,6.86,7,8.4,5.6
Woo-Suk Kang,7.2,1,7.2,7.2
Woody Allen,7.01,22,8.1,6.3
Wych Kaosayananda,3.6,1,3.6,3.6
Xavier Beauvois,7.2,1,7.2,7.2
Xavier Gens,6.05,2,6.3,5.8
Yarrow Cheney,6.8,1,6.8,6.8
Yash Chopra,7.4,2,7.9,6.9
Yimou Zhang,7.18,6,7.9,5.7
Yorgos Lanthimos,7.3,1,7.3,7.3
Youssef Delara,5.45,2,5.7,5.2
Yuefeng Song,6.4,1,6.4,6.4
Zach Braff,7.15,2,7.6,6.7
Zach Cregger,5.1,1,5.1,5.1
Zack Snyder,7.18,8,7.7,6.1
Zack Ward,4.0,1,4.0,4.0
Zackary Adler,5.0,1,5.0,5.0
Zak Penn,6.6,1,6.6,6.6
Zal Batmanglij,6.8,2,6.9,6.7
Zoran Lisinac,7.1,1,7.1,7.1
Álex de la Iglesia,6.1,1,6.1,6.1
Émile Gaudreault,6.7,1,6.7,6.7
Éric Tessier,6.6,1,6.6,6.6
Étienne Faure,4.3,1,4.3,4.3
